File,Epochs,Batch Size,Learning Rate,Total Error Margin,PKG_Energy,RAM_Energy,Cache Misses,Time
perf_output4.txt,5,32,0.0001,2667.0741308593747,766.23,91.74,34928112,8.616096867
perf_output3.txt,5,32,0.001,498.9201013183594,767.56,91.80,34904854,8.625256432
perf_output2.txt,5,32,0.01,117.12995956420897,770.29,91.83,35781805,8.617562891
perf_output1.txt,5,32,0.1,0.8259700393676757,767.05,91.87,35448847,8.616942024
perf_output7.txt,5,64,0.001,428.7878323364257,554.23,64.52,37776705,6.040033863
perf_output8.txt,5,64,0.0001,3479.210913085937,552.90,64.29,36074147,6.040066905
perf_output6.txt,5,64,0.01,217.95516357421877,540.40,64.31,35328560,6.023948590
perf_output5.txt,5,64,0.1,0.09635124206542933,540.01,64.63,34716567,6.036360749
perf_output12.txt,5,128,0.0001,8207.567358398437,429.06,51.05,35185248,4.747735609
perf_output10.txt,5,128,0.01,14.254150733947753,427.18,50.88,34504968,4.741912265
perf_output11.txt,5,128,0.001,1586.9229650878906,429.75,50.99,34754697,4.742185168
perf_output9.txt,5,128,0.1,1.2869079875946041,434.33,51.04,36066435,4.764177187
perf_output16.txt,5,256,0.0001,5012.376364746095,422.27,51.20,34563678,4.750512029
perf_output15.txt,5,256,0.001,294.98319274902343,423.89,51.48,34671495,4.757710279
perf_output13.txt,5,256,0.1,0.3905054187774657,421.36,50.90,34423955,4.730561581
perf_output14.txt,5,256,0.01,43.8101245880127,421.43,51.10,34420770,4.736081354
perf_output17.txt,10,32,0.1,0.3115034103393559,1220.38,145.17,36277604,13.727570337
perf_output18.txt,10,32,0.01,116.45129684448243,1221.22,144.83,35710764,13.729434917
perf_output20.txt,10,32,0.0001,463.2183666992188,1217.58,144.80,35527840,13.727098992
perf_output19.txt,10,32,0.001,1138.045689086914,1217.44,145.03,35830250,13.721222866
perf_output22.txt,10,64,0.01,59.6591608428955,766.09,91.16,35141935,8.599402567
perf_output21.txt,10,64,0.1,0.8275400829315189,767.43,91.08,35044983,8.601135575
perf_output23.txt,10,64,0.001,792.6399194335936,788.25,91.19,39495162,8.622890338
perf_output24.txt,10,64,0.0001,6932.309350585938,765.41,91.14,35436125,8.601880564
perf_output27.txt,10,128,0.001,830.7487341308595,542.70,64.26,34872686,6.050399626
perf_output26.txt,10,128,0.01,219.255206451416,543.68,64.13,35470023,6.044654739
perf_output25.txt,10,128,0.1,2.02562885761261,553.23,64.41,36287931,6.044277420
perf_output28.txt,10,128,0.0001,9416.24181640625,544.44,64.40,34823945,6.048613392
perf_output30.txt,10,256,0.01,70.38531860351563,530.70,64.37,34670487,6.026312958
perf_output32.txt,10,256,0.0001,9302.10435546875,528.90,64.06,34541788,6.015352425
perf_output29.txt,10,256,0.1,3.0283747291564937,530.62,64.26,34566665,6.026956642
perf_output31.txt,10,256,0.001,550.2820681762695,531.24,64.06,34921381,6.022301114
perf_output34.txt,15,32,0.01,153.0125510406494,2077.57,252.92,36571163,23.959027046
perf_output36.txt,15,32,0.0001,6333.439677734375,2087.85,252.84,38412672,23.958571684
perf_output33.txt,15,32,0.1,0.792993049621582,2086.32,252.08,38714003,23.961643023
perf_output35.txt,15,32,0.001,512.8956317138673,2098.48,253.20,41122633,23.950247380
perf_output38.txt,15,64,0.01,43.6441582107544,1207.80,145.14,35720614,13.738480089
perf_output40.txt,15,64,0.0001,5129.470180664062,1197.96,144.65,35906468,13.716938121
perf_output39.txt,15,64,0.001,14.638016357421876,1200.38,144.66,35747865,13.718279601
perf_output37.txt,15,64,0.1,3.3645874691009516,1202.11,144.68,36402210,13.720806129
perf_output44.txt,15,128,0.0001,11531.60951171875,776.31,92.22,37662299,8.611797906
perf_output42.txt,15,128,0.01,9.265352668762208,760.25,91.50,35412948,8.603373182
perf_output41.txt,15,128,0.1,0.8721274518966675,760.55,91.01,35170940,8.612813878
perf_output43.txt,15,128,0.001,793.5906396484374,766.87,91.85,37994251,8.598682105
perf_output46.txt,15,256,0.01,6.2875222396850585,539.27,64.82,35408317,6.033256574
perf_output48.txt,15,256,0.0001,12359.877177734374,538.57,64.66,34645192,6.047230436
perf_output45.txt,15,256,0.1,1.2687232971191404,537.75,64.89,34685277,6.037414510
perf_output47.txt,15,256,0.001,1206.819627685547,537.93,64.69,34620736,6.042909217
perf_output50.txt,20,32,0.01,55.74158477783203,2119.60,252.89,36887244,23.971356025
perf_output52.txt,20,32,0.0001,4609.119929199219,2141.23,253.20,41238360,23.974133603
perf_output51.txt,20,32,0.001,34.15194274902344,2121.91,253.23,36112321,23.992616362
perf_output49.txt,20,32,0.1,1.9327498245239259,2128.21,254.21,37300666,23.995259077
perf_output56.txt,20,64,0.0001,1565.0341821289062,1223.23,145.65,35323416,13.714675398
perf_output55.txt,20,64,0.001,88.48061260223389,1218.38,144.68,36075550,13.717003978
perf_output53.txt,20,64,0.1,1.0967915010452276,1220.61,144.99,36520565,13.707085554
perf_output54.txt,20,64,0.01,91.5568151855469,1214.05,144.17,35437583,13.714748163
perf_output60.txt,20,128,0.0001,2612.096032714843,769.29,91.60,35025225,8.592921269
perf_output57.txt,20,128,0.1,0.45454028129577617,779.11,91.67,36932451,8.596222724
perf_output58.txt,20,128,0.01,177.90650405883787,773.06,91.42,35823909,8.592614213
perf_output59.txt,20,128,0.001,741.5123431396485,770.31,91.71,34912043,8.592506750
perf_output63.txt,20,256,0.001,418.20841796875,790.02,92.65,41710856,8.619740637
perf_output62.txt,20,256,0.01,38.3284077835083,546.06,65.07,35728741,6.048370276
perf_output61.txt,20,256,0.1,1.6238057708740232,546.71,64.99,34952660,6.063304026
perf_output64.txt,20,256,0.0001,14847.5493359375,559.65,65.78,36225059,6.108327094
